	
Interneurons	Calb2
	Calb22
	Dlx1
	Dlx6ox1
	Efnb3
	Gad2
	Kirre3
	Meis
	Ncam11
	Nrxn16
	Nrxn3
	Nrxn32
	Robo21
	Sox11
	Sox2ot
	Sox4
	Sp81
	Sp9
Progenitor	Aurka
	Aurka1
	Cenpa
	Cenpa1
	Cenpe1
	Cenpf1
	Cenpf2
	Gadd45g
	Gadd45g1
	Gapdh2
	H2afv4/fz2/fx1
	Hes55
	Hes57
	Hes61
	Hes62
	Hes63
	ld45
	Mest6
	Neurog2
	Neurog21
	Neurog22
	Ocna1
	Sfrp11
	Top2a
Mitral	Eomoes
	Neurod1
	Neurod2
	Neurod6
	Tbr1
	Tfap2e
Early promodial	Ebf14
	lgf432
	Lhx5
	Tbr12
MC progenitor cells	Emx11
	Eomes1
	Neurod21
	Neurod61
	Tbr11
Astrocytes	Aldoc
	Aldoc2
	Apoe3
	Aqp4
	Gfap
	Hes5
	Sfrp1
	Slc1a31
	Sox9
Oligodendrocyte	Cspg
	Olig1
	Olig2
	Sox10
	Sox8
LP	Col1a1
	Col3a1
	Cycl121
	Dcn
	H19
	Lgals1
	Lgf2
	Slc6a13
	Vtn
